n,Header,Feature,synonyms,en,uri,super,comment,definition
RI.1.4,,Record Completeness,Record Completeness,RI.1.4 Record Completeness,EhrSfmRecordCompleteness,EhrSfmRecordLifecycleAndLifespan,Manage Record Completeness,"The EHR-S must provide the ability for an organization to define minimum elements and timeframes for completion at the report level and at the record level. Provide a report that identifies completion and timeliness status by patient/ health record number or other specified parameters.Prior to disclosure for legal proceedings or other official purposes, an organization analyzes the health record for completeness. EHR systems must provide the ability to define a minimum set of content to be analyzed for timeliness and completeness and provide a report of the status."
RI.2,,Record Synchronization,Record Synchronization,RI.2 Record Synchronization,EhrSfmRecordSynchronization,EhrSfmRecordInfrastructure,Manage Record Synchronization,"An EHR-S may consist of a set of components or applications; each application manages a subset of the health information. Therefore it is important that, through various interoperability mechanisms, an EHR-S maintains all the relevant information regarding the health record in synchrony. For example, if a physician orders an MRI, a set of diagnostic images and a radiology report will be created. As a result, the patient demographic information, the order for MRI, the diagnostic images associated with the order, and the report associated with the study must all be synchronized in order for the clinicians to receive a synchronized view the complete record (with respect to time and geographic location).Date and time need to be consistent across the applications that are part of the EHR system.Synchronization demonstrates a sequence and chain of events for reconstruction and is relevant during a legal proceeding. Maintenance of synchronization activities could be relevant during a legal proceeding.Note: Standards exist for Consistent Date and Time."
RI.3,,Record Archive and Restore,Record Archive and Restore,RI.3 Record Archive and Restore,EhrSfmRecordArchiveAndRestore,EhrSfmRecordInfrastructure,Manage Record Archive and Restore,"EHR Record Entries must be transitioned over its lifecycle from online data structures to near-line or off-line data structures. The archive function performs this transition of Record Entries from an online, production EHR-S to offline storage for information that is not being purged/destroyed. The system must provide such archive and restore functions to extract and preserve indefinitely, Record Entries selected to be removed from the live production EHR-S database and retained.Record Entries must be archived and restored in such a manner as to permit them to be returned to their original or similar information structures. Archived Record Entries must also include corresponding metadata to ensure logical and semantic consistency of the information for subsequent access upon restoration.The archive function should provide both an automated, configurable capability as well as a user-invoked archival function to enable selected Record Entries to be preserved, or flagged for preservation. In the first instance, rules are specified to enable the system to conduct archiving in an unattended fashion. This is often the case for periodic system maintenance requirements (e.g., nightly processing where archival, data summarization and possibly purging of information occurs). In the second instance the system should provide the ability to select Record Entries to be preserved for future reference and access, such as in the case where selected Entries need to be preserved and retained for litigation.In restoring information, it may occur that Record Entries being restored are a subset of the Entries originally archived. For example, when all Record Entries for a patient encounter were archived and only a particular set of Record Entries related to a study or result are to be restored. The system may provide for such finer granularity of restoration.Archiving and restoring of Record Entries must be performed in a timely fashion, consistent with the operational requirements of both EHR users and system and technology capabilities.The system must enable compliance with records retention according to scope of practice, organizational policy or jurisdictional law."
,,,,,,,,
TI,Trust Infrastructure,,Trust Infrastructure,TI Trust Infrastructure,EhrSfmTrustInfrastructure,,,
TI.1,Security,,Security,TI.1 Security,EhrSfmSecurity,EhrSfmTrustInfrastructure,Manage EHR-S security.,"EHR-S security consists of entity authentication, entity authorization, entity access control, patient access management, secure data exchange, attestation, patient privacy and confidentiality. EHR audit functions are described in TI.2."
TI.1.1,,Entity Authentication,Entity Authentication,TI.1.1 Entity Authentication,EhrSfmEntityAuthentication,EhrSfmSecurity,"Authenticate EHR-S users, and/or entities before allowing access.","All entities accessing the EHR-S are subject to authentication.Examples of entity authentication, with varying levels of authentication rigor, include: - username/password;- digital certificate;- secure token;- biometrics."
TI.1.2,,Entity Authorization,Entity Authorization,TI.1.2 Entity Authorization,EhrSfmEntityAuthorization,EhrSfmSecurity,Manage set(s) of EHR-S access control permissions.,"Entities are authorized to use components of an EHR-S in accordance with their scope of practice within local policy or legal jurisdiction. Authorization rules provide a proper framework for establishing access permissions and privileges for the use of an EHR system, based on user, role or context. A combination of these authorization categories may be applied to control access to EHRS resources (i.e., functions or data), including at the operating system level.- User based authorization refers to the permissions granted to access EHR-S resources based on the identity of an entity (e.g., user or software component). - Role based authorization refers to the permissions granted to access EHR-S resources based on the role of an entity. Examples of roles include: an application or device (tele-monitor or robotic); or a nurse, dietician, administrator, legal guardian, and auditor. - Context-based Authorization refers to the permissions granted to access EHR-S resources within a context, such as when a request occurs, explicit time, location, route of access, quality of authentication, work assignment, patient consents and authorization. See ISO 10181-3 Technical Framework for Access Control Standard. For example, an EHR-S might only allow supervising providers’ context authorization to attest to entries proposed by residents under their supervision."
TI.1.3,,Entity Access Control,Entity Access Control,TI.1.3 Entity Access Control,EhrSfmEntityAccessControl,EhrSfmSecurity,Manage access to EHR-S resources.,"To ensure access is controlled, an EHR-S must authenticate and check authorization of entities for appropriate operations."
TI.1.3.1,,Emergency Access Control,Emergency Access Control,TI.1.3.1 Emergency Access Control,EhrSfmEmergencyAccessControl,EhrSfmManageRecordPendingState,Manage emergency access to EHR-S resources.,"The intent of Emergency Access Control is to mitigate the potential for impeding the provision of care in an emergency situation in accordance with organizational policy.For example, emergency access may include: 1) Single record entry (e.g., single laboratory results, single document, single view); 2) Single patient; 3) Single login session, multiple patients; 4) Site mode allowing simultaneous emergency access to all users.Logging of a user’s activities should occur in the audit record/metadata. Reports of emergency access use for follow up are critical for compliance and monitoring."
TI.1.4,,Patient Access Management,Patient Access Management,TI.1.4 Patient Access Management,EhrSfmPatientAccessManagement,EhrSfmSecurity,Manage a patient’s access to personal health information.,"A healthcare delivery organization will be able to manage a patient’s ability to view his or her EHR based on organization policy or jurisdictional law. Typically, a patient or their legal representative (e.g., guardian, surrogate) has the right to view his or her EHR."
TI.1.5,,Non-Repudiation,Non-Repudiation,TI.1.5 Non-Repudiation,EhrSfmNonrepudiation,EhrSfmSecurity,"Limit an EHR-S user's ability to deny (repudiate) data origination, transmission or receipt  by that user.","An EHR-S allows data entry to a patient's electronic health record and it can be a sender or receiver of healthcare information. Non-repudiation is a way to guarantee that the source of the data/record cannot later deny that fact; and that the sender of a message cannot later deny having sent the message; and that the recipient cannot deny having received the message. Components of non-repudiation can include: - Digital signature, which serves as a unique identifier for an individual (much like a written signature); -Confirmation service, which utilizes a message transfer agent to create a digital receipt (providing confirmation that a message was sent, and/or received); - Timestamp, which proves that a document existed at a certain date and time; - The use of standardized timekeeping protocols (e.g., the Integrating the Healthcare Enterprise (IHE) Consistent Time Profile)."
TI.1.6,,Secure Data Exchange,Secure Data Exchange,TI.1.6 Secure Data Exchange,EhrSfmSecureDataExchange,EhrSfmSecurity,Secure all modes of EHR data exchange.,"Whenever an exchange of EHR information occurs, it requires appropriate security and privacy considerations, including data obfuscation as well as both destination and source authentication when necessary. For example, it may be necessary to encrypt data sent to remote or external destinations."
TI.1.7,,Secure Data Routing,Secure Data Routing,TI.1.7 Secure Data Routing,EhrSfmSecureDataRouting,EhrSfmSecurity,Route electronically exchanged EHR data only to/from known and authenticated destinations/sources  (according to applicable healthcare-specific rules and relevant standards).,"An EHR-S needs to ensure that it is exchanging EHR information with the entities (applications, institutions, directories) it expects. This function depends on entity authorization and authentication to be available in the system. For example, a physician practice management application in an EHR-S might send claim attachment information to an external entity. To accomplish this, the application must use a secure routing method, which ensures that both the sender and receiving sides are authorized to engage in the information exchange. Known sources and destinations can be established in a static setup or they can be dynamically determined. Examples of a static setup are recordings of IP addresses or recordings of DNS names. For dynamic determination of known sources and destinations systems can use authentication mechanisms as described in IN.1.For example, the sending of a laboratory order from the EHRS to a laboratory system within the same organization usually uses a simple static setup for routing. In contrast sending a laboratory order to a reference laboratory outside of the organization will involve some kind of authentication process. Provision of a secure network infrastructure is beyond the scope of an EHR-S."
TI.1.8,,Patient Privacy and Confidentiality,Patient Privacy and Confidentiality,TI.1.8 Patient Privacy and Confidentiality,EhrSfmPatientPrivacyAndConfidentiality,EhrSfmSecurity,Enable the enforcement of the applicable jurisdictional and organizational patient privacy rules as they  apply to various parts of an EHR-S through the implementation of security mechanisms.,"Patients’ privacy and the confidentiality of EHRs are violated if access to EHRs occurs without authorization. Violations or potential violations can impose tangible economic or social losses on affected patients, as well as less tangible feelings of vulnerability and pain. Fear of potential violations discourages patients from revealing sensitive personal information that may be relevant to diagnostic and treatment services. Rules for the protection of privacy and confidentiality may vary depending upon the vulnerability of patients and the sensitivity of records. Strongest protections should apply to the records of minors and the records of patients with stigmatized conditions. Authorization to access the most sensitive parts of an EHR is most definitive if made by the explicit and specific consent of the patient. Please see the definition of masking in the glossary.Organizational practices related to privacy and security jurisdictional laws could be called into question during a legal proceeding. Adherence to applicable laws supports the credibility and trustworthiness of the organization."
TI.1.8.1,,Redact Patient Identifying Information,Redact Patient Identifying Information,TI.1.8.1 Redact Patient Identifying Information,EhrSfmRedactPatientIdentifyingInformation,EhrSfmPatientPrivacyAndConfidentiality,Maintain patient identities and conditions invisible to the public and other providers who do not have  “need to know” on public tracking screens.,"A number of systems implement large tracking screens, common displays or dashboards to support workflows. In these applications, there is a need to create de-identified views for broadcast in common areas."
TI.1.8.2,,Protect Individual Patient Identify,Protect Individual Patient Identify,TI.1.8.2 Protect Individual Patient Identify,EhrSfmProtectIndividualPatientIdentify,EhrSfmPatientPrivacyAndConfidentiality,Flag patient identity as confidential to others.,"Create a flag to indicate to all providers caring for the patient, as well as administrative staff who may receive phone calls from family members or others, the need to protect the identity of patients at risk of harm, or requesting similar anonymity. Despite best efforts of confidentiality, display should identify patients at particular risk of harm during stay (e.g., domestic violence)."
TI.1.9,,System Operation Measurements,System Operation Measurements,TI.1.9 System Operation Measurements,EhrSfmSystemOperationMeasurements,EhrSfmSecurity,Manage the change of status of an external facility.,"A health care delivery relies on services provided by other external facilities such as laboratories or Long Term Care facilities. The status of those facilities is subject to change for example: power outage, flooding or overcapacity. Therefore, the EHR system needs to capture the status of the external facilities, notify appropriate individuals / organizations or even change the workflow based on established business rules. Change of the status of an external facility is patient safety concern because a provider may need to adjust patient care or care workflows accordingly. For example, changes of status of external facility include: laboratory no longer accredited, laboratory power outage, Long Term Care facility at overcapacity. If laboratory loses accreditation an administrator needs to be notified to adjust the workflow. If status change is anticipated on regular basis, the system may automatically trigger workflow adjustment according to established business rule that take in consideration the status of the external facility. The example for later, the local Long Term Care facility may routinely exceed the capacity on the weekends; therefore, the business rule will accommodate for automatic workflow adjustments."
TI.1.10,,Service Availability,Service Availability,TI.1.10 Service Availability,EhrSfmServiceAvailability,EhrSfmSecurity,"Manage the ability to access, render and determine information related to Service Level Agreement.",A provider may need to be aware of certain Service Level Agreement information in order to mitigate patient safety-related risks that depend on system availability or system performance.
TI.1.11,,Trusted Information Exchange Environment,Trusted Information Exchange Environment,TI.1.11 Trusted Information Exchange Environment,EhrSfmTrustedInformationExchangeEnvironment,EhrSfmSecurity,Maintain a Trusted Information Exchange environment to enable common security measures among  participants in the health information exchange.,"A Trusted Information Exchange environment facilitates protected health information exchange by employing common user authentication across multiple systems, and/or organizations. A Trusted Information Exchange environment can help decrease risk and liability for participating members of the Trusted Information Exchange environment by ensuring that protected health information is consistently managed by all participants."
TI.2,,Audit,Audit,TI.2 Audit,EhrSfmAudit,EhrSfmTrustInfrastructure,"Audit Key Record, Security, System and Clinical Events","EHR Systems have built in audit triggers to capture key events in real-time, including events related to record management, security, system operations or performance or clinical situations.Event details, including key metadata (who, what, when, where), are captured in an Audit Log.Audit Review functions allow various methods of critical event notification as well as routine log review.Audit functions implement requirements according to scope of practice, organizational policy, and jurisdictional law."
TI.2.1,,Audit Triggers,Audit Triggers,TI.2.1 Audit Triggers,EhrSfmAuditTriggers,EhrSfmAudit,Manage Audit Triggers,"EHR Systems have built in audit triggers to capture key events in real-time. Audit triggers signal key:- Record management and lifecycle events;- Security events related to system and data safeguards, both routine and exceptional;- System events related to performance and operations, both routine and exceptional.- Clinical events with special log requirements."
TI.2.1.1,,Record Entry Audit Triggers,Record Entry Audit Triggers,TI.2.1.1 Record Entry Audit Triggers,EhrSfmRecordEntryAuditTriggers,EhrSfmAuditTriggers,Manage Record Entry Audit Triggers,"Record Entries are managed throughout their lifespan at various points in their lifecycle. Record Entry Audit Triggers are designed to capture Record Entry related events including key metadata (who, what, when, where, why). See Function RI.1, Record Lifecycle."
TI.2.1.2,,Security Audit Triggers,Security Audit Triggers,TI.2.1.2 Security Audit Triggers,EhrSfmSecurityAuditTriggers,EhrSfmAuditTriggers,Manage Security Audit Triggers,"Security Audit Triggers are designed to capture security related events, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.2.1,,Security Event Security Audit Trigger,Security Event Security Audit Trigger,TI.2.1.2.1 Security Event Security Audit Trigger,EhrSfmSecurityEventSecurityAuditTrigger,EhrSfmSecurityAuditTriggers,Manage Audit Trigger initiated to track Security event.,"Capture security events, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.2.2,,User Authentication to the System (Start user session) Security Audit Trigger,User Authentication to the System (Start user session) Security Audit Trigger,TI.2.1.2.2 User Authentication to the System (Start user session) Security Audit Trigger,EhrSfmUserAuthenticationToTheSystemStartUserSessionSecurityAuditTrigger,EhrSfmSecurityAuditTriggers,Manage Audit Trigger initiated to track user authentication to the system (start user session).,"Capture user authentication to the system (start user session), both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.2.3,,User Authentication (System Prompt for Password Change) Security Audit Trigger,User Authentication (System Prompt for Password Change) Security Audit Trigger,TI.2.1.2.3 User Authentication (System Prompt for Password Change) Security Audit Trigger,EhrSfmUserAuthenticationSystemPromptForPasswordChangeSecurityAuditTrigger,EhrSfmSecurityAuditTriggers,Manage Audit Trigger initiated to track user authentication (system prompt for password change).,"Capture user authentication (system prompt for password change), both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.2.4,,User Request to Change Password Security Audit Trigger,User Request to Change Password Security Audit Trigger,TI.2.1.2.4 User Request to Change Password Security Audit Trigger,EhrSfmUserRequestToChangePasswordSecurityAuditTrigger,EhrSfmSecurityAuditTriggers,Manage Audit Trigger initiated to track user request to change password.,"Capture user request to change password, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.2.5,,User Log Out (End user session) Security Audit Trigger,User Log Out (End user session) Security Audit Trigger,TI.2.1.2.5 User Log Out (End user session) Security Audit Trigger,EhrSfmUserLogOutEndUserSessionSecurityAuditTrigger,EhrSfmSecurityAuditTriggers,Manage Audit Trigger initiated to track user log out (end user session).,"Capture user log out (end user session), both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.2.6,,User Access (Successful) Security Audit Trigger,User Access (Successful) Security Audit Trigger,TI.2.1.2.6 User Access (Successful) Security Audit Trigger,EhrSfmUserAccessSuccessfulSecurityAuditTrigger,EhrSfmSecurityAuditTriggers,Manage Audit Trigger initiated to track user access (successful).,"Capture user access (successful), both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.2.7,,User Attempts to Access Data (Unsuccessful -  Access Denied) Security Audit Trigger,User Attempts to Access Data (Unsuccessful -  Access Denied) Security Audit Trigger,TI.2.1.2.7 User Attempts to Access Data (Unsuccessful -  Access Denied) Security Audit Trigger,EhrSfmUserAttemptsToAccessDataUnsuccessfulAccessDeniedSecurityAuditTrigger,EhrSfmSecurityAuditTriggers,Manage Audit Trigger initiated to track user attempts to access data (unsuccessful – access denied).,"Capture user attempts to access data (unsuccessful – access denied), both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.2.8,,Extraordinary User Access (Break the Glass) Security Audit Trigger,Extraordinary User Access (Break the Glass) Security Audit Trigger,TI.2.1.2.8 Extraordinary User Access (Break the Glass) Security Audit Trigger,EhrSfmExtraordinaryUserAccessBreakTheGlassSecurityAuditTrigger,EhrSfmSecurityAuditTriggers,Manage Audit Trigger initiated to track extraordinary user access (break the glass).,"Capture extraordinary user access (break the glass), both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.2.9,,User Permissions (Authorization) Security Audit Trigger,User Permissions (Authorization) Security Audit Trigger,TI.2.1.2.9 User Permissions (Authorization) Security Audit Trigger,EhrSfmUserPermissionsAuthorizationSecurityAuditTrigger,EhrSfmSecurityAuditTriggers,Manage Audit Trigger initiated to track user permissions (authorization).,"Capture user permissions (authorization), both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3,,System Audit Triggers,System Audit Triggers,TI.2.1.3 System Audit Triggers,EhrSfmSystemAuditTriggers,EhrSfmAuditTriggers,Manage System Audit Triggers,"System Audit Triggers are designed to capture system related events, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.1,,System Event System Audit Trigger,System Event System Audit Trigger,TI.2.1.3.1 System Event System Audit Trigger,EhrSfmSystemEventSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track system events.,"Capture system events, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.2,,System Started System Audit Trigger,System Started System Audit Trigger,TI.2.1.3.2 System Started System Audit Trigger,EhrSfmSystemStartedSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track system started event.,"Capture system started event, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.3,,Back Up Started System Audit Trigger,Back Up Started System Audit Trigger,TI.2.1.3.3 Back Up Started System Audit Trigger,EhrSfmBackUpStartedSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track back-up started event.,"Capture back-up started event, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.4,,Back Up Completed System Audit Trigger,Back Up Completed System Audit Trigger,TI.2.1.3.4 Back Up Completed System Audit Trigger,EhrSfmBackUpCompletedSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track back-up completed event.,"Capture back-up completed event, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.5,,Back Up Recovery Started System Audit Trigger,Back Up Recovery Started System Audit Trigger,TI.2.1.3.5 Back Up Recovery Started System Audit Trigger,EhrSfmBackUpRecoveryStartedSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track back-up recovery started event.,"Capture back-up recovery started event, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.6,,Back Up Recovery Completed System Audit Trigger,Back Up Recovery Completed System Audit Trigger,TI.2.1.3.6 Back Up Recovery Completed System Audit Trigger,EhrSfmBackUpRecoveryCompletedSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track back-up recovery completed event.,"Capture back-up recovery completed event, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.7,,Batch Job Started System Audit Trigger,Batch Job Started System Audit Trigger,TI.2.1.3.7 Batch Job Started System Audit Trigger,EhrSfmBatchJobStartedSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track batch job started event.,"Capture system batch job started event, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.8,,Batch Job Completed System Audit Trigger,Batch Job Completed System Audit Trigger,TI.2.1.3.8 Batch Job Completed System Audit Trigger,EhrSfmBatchJobCompletedSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track batch job completed event.,"Capture batch job completed event, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.9,,Maintenance Started System Audit Trigger,Maintenance Started System Audit Trigger,TI.2.1.3.9 Maintenance Started System Audit Trigger,EhrSfmMaintenanceStartedSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track maintenance started event.,"Capture maintenance started event, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.10,,Maintenance Completed System Audit Trigger,Maintenance Completed System Audit Trigger,TI.2.1.3.10 Maintenance Completed System Audit Trigger,EhrSfmMaintenanceCompletedSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track maintenance completed event.,"Capture maintenance completed event, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.11,,Resource Usage System Audit Trigger,Resource Usage System Audit Trigger,TI.2.1.3.11 Resource Usage System Audit Trigger,EhrSfmResourceUsageSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track resource usage event.,"Capture resource usage event, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.12,,System Maintenance Events - Local Access System Audit Trigger,System Maintenance Events - Local Access System Audit Trigger,TI.2.1.3.12 System Maintenance Events - Local Access System Audit Trigger,EhrSfmSystemMaintenanceEventsLocalAccessSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track system maintenance events -local access.,"Capture system maintenance events -local access, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.13,,System Maintenance Events - Remote Access System Audit Trigger,System Maintenance Events - Remote Access System Audit Trigger,TI.2.1.3.13 System Maintenance Events - Remote Access System Audit Trigger,EhrSfmSystemMaintenanceEventsRemoteAccessSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track system maintenance events -remote access.,"Capture system maintenance events -remote access, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.14,,System Maintenance -  EHR or Clinical Software System Audit Trigger,System Maintenance -  EHR or Clinical Software System Audit Trigger,TI.2.1.3.14 System Maintenance -  EHR or Clinical Software System Audit Trigger,EhrSfmSystemMaintenanceEhrOrClinicalSoftwareSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track system maintenance - EHR or clinical software.,"Capture system maintenance - EHR or clinical software, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.15,,"System Maintenance -  Codes, Vocabulary, Knowledge, Rules  System Audit Trigger","System Maintenance -  Codes, Vocabulary, Knowledge, Rules  System Audit Trigger","TI.2.1.3.15 System Maintenance -  Codes, Vocabulary, Knowledge, Rules  System Audit Trigger",EhrSfmSystemMaintenanceCodesVocabularyKnowledgeRulesSystemAuditTrigger,EhrSfmSystemAuditTriggers,"Manage Audit Trigger initiated to track system maintenance of codes, vocabulary, knowledge and rules.","Capture system maintenance of codes, vocabulary, knowledge and rules - both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.3.16,,Data Corruption System Audit Trigger,Data Corruption System Audit Trigger,TI.2.1.3.16 Data Corruption System Audit Trigger,EhrSfmDataCorruptionSystemAuditTrigger,EhrSfmSystemAuditTriggers,Manage Audit Trigger initiated to track data corruption events.,"Capture data corruption event, including key metadata (who, what, when, where, why)."
TI.2.1.4,,Clinical Audit Triggers,Clinical Audit Triggers,TI.2.1.4 Clinical Audit Triggers,EhrSfmClinicalAuditTriggers,EhrSfmAuditTriggers,Manage Clinical Audit Triggers,"Clinical Audit Triggers are designed to capture certain clinical events, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.4.1,,Clinical Alerts Clinical Audit Trigger,Clinical Alerts Clinical Audit Trigger,TI.2.1.4.1 Clinical Alerts Clinical Audit Trigger,EhrSfmClinicalAlertsClinicalAuditTrigger,EhrSfmClinicalAuditTriggers,Manage Audit Trigger initiated to track clinical alerts.,"Capture clinical alerts, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.4.2,,Acknowledgments of Clinically Significant Report Changes Clinical Audit Trigger,Acknowledgments of Clinically Significant Report Changes Clinical Audit Trigger,TI.2.1.4.2 Acknowledgments of Clinically Significant Report Changes Clinical Audit Trigger,EhrSfmAcknowledgmentsOfClinicallySignificantReportChangesClinicalAuditTrigger,EhrSfmClinicalAuditTriggers,Manage Audit Trigger initiated to track acknowledgement of clinically significant report changes.,"Capture acknowledgement of clinically significant report changes, both routine and exceptional, including key metadata (who, what, when, where, why)."
TI.2.1.4.3,,Disable Decision Support Alerts Clinical Audit Trigger,Disable Decision Support Alerts Clinical Audit Trigger,TI.2.1.4.3 Disable Decision Support Alerts Clinical Audit Trigger,EhrSfmDisableDecisionSupportAlertsClinicalAuditTrigger,EhrSfmClinicalAuditTriggers,Manage Audit Trigger initiated to track disabling of decision support alerts.,"Capture disabling of decision support alerts, both routine and exceptional, including key metadata (who, what, when, where, why)."
,,,,,,,,
TI.2.2,,Audit Log Management,Audit Log Management,TI.2.2 Audit Log Management,EhrSfmAuditLogManagement,EhrSfmAudit,Manage Audit Log,"Audit Triggers create Audit Log entries. Audit Log entries are typically managed as persistent evidence of events occurring over time, including events pertaining to record management, security, system operations and performance, key clinical situations.Audit log entries capture event details, including key metadata (who, what, when, where).Audit log functions fulfill log maintenance and persistence requirements according to scope of practice, organizational policy, and jurisdictional law."
TI.2.2.1,,Audit Log Indelibility,Audit Log Indelibility,TI.2.2.1 Audit Log Indelibility,EhrSfmAuditLogIndelibility,EhrSfmAuditLogManagement,Manage Audit Log Indelibility,"Audit logs must be maintained in a persistent and indelible form according to scope of practice, organizational policy, and jurisdictional law."
TI.2.3,,Audit Notification and Review,Audit Notification and Review,TI.2.3 Audit Notification and Review,EhrSfmAuditNotificationAndReview,EhrSfmAudit,"Notify of Audit Events, Review Audit Log","EHR system functions allow various methods of critical event notification (from audit triggers) as well as routine log review.Audit log notification and review functions implement requirements according to scope of practice, organizational policy, and jurisdictional law."
TI.3,,Registry and Directory Services,Registry and Directory Services,TI.3 Registry and Directory Services,EhrSfmRegistryAndDirectoryServices,EhrSfmTrustInfrastructure,"Enable the use of registry services and directories to uniquely identify, locate and supply links for retrieval  of information related to:- patients and providers for healthcare purposes; - payers, health plans, sponsors,  and employers for administrative and financial purposes; - public health agencies for healthcare purposes,  and- healthcare resources and devices for resource management purposes.","Registry and directory service functions are critical to successfully managing the security, interoperability, and the consistency of the health record data across an EHR-S. These services enable the linking of relevant information across multiple information sources within, or external to, an EHR-S for use within an application. This applies to directories/registries internal to the EHR-S as well as directories/registries external to the EHR-S . Transmission may occur automatically or manually and may include small or large amounts of data. Directories and registries support communication between EHR Systems and may be organized hierarchically or in a federated fashion. For example, a patient being treated by a primary care physician for a chronic condition may become ill while out of town. The new provider’s EHR-S interrogates a local, regional, or national registry to find the patient’s previous records. From the primary care record, a remote EHR-S retrieves relevant information in conformance with applicable patient privacy and confidentiality rules.An example of local registry usage is an EHR-S application sending a query message to the Hospital Information System to retrieve a patient’s demographic data."
TI.4,,Standard Terminology and Terminology Services,Standard Terminology and Terminology Services,TI.4 Standard Terminology and Terminology Services,EhrSfmStandardTerminologyAndTerminologyServices,EhrSfmTrustInfrastructure,"Support semantic interoperability through the use of standard terminologies, standard terminology models  and standard terminology services.","The purpose of supporting terminology standards and services is to enable semantic interoperability. Interoperability is demonstrated by the consistency of human and machine interpretation of shared data and reports. It includes the capture and support of consistent data for templates and decision support logic.Terminology standards pertain to concepts, representations, synonyms, relationships and computable (machine-readable) definitions. Terminology services provide a common way for managing and retrieving these items, including historically correct version interpretation. Terminology services need to support legal requirements for retrospective health record information and system data."
